TID	ItemName	Level	SuitableLevelMin	SuitableLevelMax	Class	Race	Gender	Type	SubType	ExtraType	BoundType	EventItem	PCBang Only	Villain Only	GroupID	DropRate	DropRank	font color	Spirit Type	NPC Price	PC Price	Stack	Hand	Rank	DUR	MinSocket	MaxSocket	MinOption	MaxOption	ATK Range	ATK Speed	Physical_Min_Damage	Physical_Max_Damage	Magic_Min_Damage	Water_Min_Damage	Fire_Min_Damage	Earth_Min_Damage	Air_Min_Damage	Poison_Min_Damage	Ice_Min_Damage	Linghtning_Min_Damage	Magic_Max_Damage	Water_Max_Damage	Fire_Max_Damage	Earth_Max_Damage	Air_Max_Damage	Poison_Max_Damage	Ice_Max_Damage	Linghtning_Max_Damage	Physical_Defense_Point	Physical_ATKRate	Magic_ATKRate 	PDR	BlockRate	Magic_Defense_Point	Water_Defense_Point	Fire_Defense_Point	Earth_Defense_Point	Air_Defense_Point	Poison_Defense_Point	Ice_Defense_Point	Linghtning_Defense_Point	Magic_Defense_Rate	Water_Defense_Rate	Fire_Defense_Rate	Earth_Defense_Rate	Air_Defense_Rate	Poison_Defense_Rate	Ice_Defense_Rate	Linghtning_Defense_Rate	CON_Bonus_Point	STR_Bonus_Point	DEX_Bonus_Point	INT_Bonus_Point	Wis_Bonus_Point	Apply Effect Count	Apply Effect Time	Use Interval	HP	SP	MP	Rune Attribute	Use skill id	Use skill level	Polymorph Id	Polymorph Dur	FirstCategory	FirstCategoryName	SecondCategory	SecondCategoryName	PhysicalRank	Hp_Buff	Mp_Buff	Attack_Buff	Defense_Buff	Run_Buff	Cash	Destination	RemainTime	ExpireTime	classify_id	CanStopUsingItem	CashItemUseType	EnableOnRide	Buyer_Type	Using_Type	OptionTID	PotionType2	Link_id	Skill_plus	Gambling	QuestItem	Gacha_Type_Numer	GachaRank	StaminaCure	RemainPetStamina	GachaMinLv	GachaMaxLv	Item_section_num	Heroic_Min_Damage	Heroic_Max_Damage	Heroic_Defense_Point
1210	Festival Food										1							16766615																																																																																																								
1267	Food Cooked with Spices										1							16766615																																																																																																								
1268	Packaged Vension										1							16766615																																																																																																								
1269	Gadius's Tooth										1							16766615																																																																																																								
1270	Goblin's Tooth										1							16766615																																																																																																								
1271	Rockbole's Claw										1							16766615																																																																																																								
1211	Magic Leather										1							16766615																																																																																																								
1212	Gold Nugget										1							16766615																																																																																																								
1213	Outsider's Gold Nugget										1							16766615																																																																																																								
1214	Gold Colored Metal										1							16766615																																																																																																								
1272	Shining Metal										1							16766615																																																																																																								
1215	Second Black Archon										1							16766615																																																																																																								
1216	Third Black Archon										1							16766615																																																																																																								
1217	First Black Archon										1							16766615																																																																																																								
1218	Jewel of Darkness										1							16766615																																																																																																								
1219	Crystal of Earth Fury										1							16766615																																																																																																								
1220	Crystal of Earth Fury										1							16766615																																																																																																								
1221	Crystal of Earth Fury										1							16766615				99																																																																																																				
1222	Crystal of Earth Fury										1							16766615																																																																																																								
1223	Crystal of Earth Fury										1							16766615																																																																																																								
1273	Black Magic Square Stone										1							16766615				99																																																																																																				
1274	Black Magic Square Stone										1							16766615				99																																																																																																				
1275	Black Magic Square Stone										1							16766615				99																																																																																																				
1276	Black Magic Square Stone										1							16766615																																																																																																								
1224	Seed of Death										1							16766615																																																																																																								
1225	Seed of Death										1							16766615																																																																																																								
1226	Seed of Death										1							16766615																																																																																																								
1227	Seed of Death										1							16766615																																																																																																								
1228	Seed of Death										1							16766615																																																																																																								
1229	Seed of Death										1							16766615																																																																																																								
1230	Magic Stone of Drive										1							16766615																																																																																																								
1231	Dorf's Treasure										1							16766615																																																																																																								
1232	Broken Magic Stone										1							16766615				99																																																																																																				
1233	Magic Stone Device										1							16766615																																																																																																								
1234	Luke's Book										1							16766615																																																																																																								
1235	Fifth Talisman of Neutralization										1							16766615																																																																																																								
1236	Talisman of Torge										1							16766615				99																																																																																																				
1237	Purified Talisman										1							16766615																																																																																																								
1277	Earth-affixing Talisman										1							16766615																																																																																																								
1278	Ghost-Repelling Talisman										1							16766615																																																																																																								
1279	Ghost-Repelling Talisman										1							16766615																																																																																																								
1280	Ghost-Repelling Talisman										1							16766615																																																																																																								
1281	Ghost-Repelling Talisman										1							16766615																																																																																																								
1282	Ghost-Repelling Talisman										1							16766615																																																																																																								
1283	Comfort Talisman										1							16766615																																																																																																								
1284	Territorial Marks of Fountain Lamias										1							16766615																																																																																																								
1285	Territorial Marks of Fountain Lamias										1							16766615																																																																																																								
1286	Territorial Marks of Fountain Lamias										1							16766615																																																																																																								
1287	Territorial Marks of Fountain Lamias										1							16766615																																																																																																								
1288	Territorial Marks of Fountain Lamias										1							16766615																																																																																																								
1289	Antidote Talisman										1							16766615																																																																																																								
1290	Antidote Talisman										1							16766615																																																																																																								
1238	Meaningless Talisman										1							16766615																																																																																																								
1291	Werewolf Fur										1							16766615																																																																																																								
1292	Unique Herb										1							16766615																																																																																																								
1293	Cursed Pouch										1							16766615																																																																																																								
1294	Sap of Life										1							16766615																																																																																																								
1295	Magic Potion of Chaos										1							16766615																																																																																																								
1296	Fourth Totem Piece										1							16766615																																																																																																								
1297	Second Totem Piece										1							16766615																																																																																																								
1298	Third Totem Piece										1							16766615																																																																																																								
1299	Anchorville Magic Stone										1							16766615																																																																																																								
1300	First Totem Piece										1							16766615																																																																																																								
1301	Candlebear Oil										1							16766615																																																																																																								
1302	Fire Crystal										1							16766615																																																																																																								
1303	Fire Ruby										1							16766615				99																																																																																																				
1304	Red Magic Jewel										1							16766615																																																																																																								
1305	Stolen Jewel										1							16766615																																																																																																								
1306	Gleaming Necklace										1							16766615																																																																																																								
1307	Projection Necklace										1							16766615																																																																																																								
1308	Resurrection Necklace										1							16766615																																																																																																								
1309	Necklace of Covenant between the Bronzedran and the Yeti										1							16766615																																																																																																								
1310	Aria's Necklace										1							16766615																																																																																																								
1311	Magic Spring Water										1							16766615																																																																																																								
1312	Festival Liquor										1							16766615																																																																																																								
1313	Potion of Amnesia										1							16766615																																																																																																								
1314	Potion of Oblivion										1							16766615																																																																																																								
1315	Disappearing Ring										1							16766615																																																																																																								
1316	Hidden Ring										1							16766615																																																																																																								
1317	Spriggan's Stolen Ring										1							16766615																																																																																																								
1318	Legendary Ring										1							16766615																																																																																																								
1319	Ring of Poison										1							16766615																																																																																																								
1320	Cursed Ring										1							16766615																																																																																																								
1321	Albarto's Book										1							16766615																																																																																																								
1322	Astrology Book										1							16766615																																																																																																								
1323	Box Containing Gargoyle's Heart										1							16766615																																																																																																								
1324	Precious Jewel Box										1							16766615																																																																																																								
1325	Losto's Relic Chest										1							16766615																																																																																																								
1326	Gnome's Money Chest										1							16766615																																																																																																								
1327	Lamunesil's Chest										1							16766615																																																																																																								
1328	Document Protection Box										1							16766615																																																																																																								
1329	Royal Envoy's Luggage										1							16766615																																																																																																								
1330	Flower of Curse										1							16766615																																																																																																								
1331	Grass of Luck										1							16766615																																																																																																								
1332	Spice Flower										1							16766615																																																																																																								
1333	Gargoyle's Heart										1							16766615																																																																																																								
1334	Bat Bait										1							16766615																																																																																																								
1335	Food for Ancestors										1							16766615																																																																																																								
1336	Stolen Food										1							16766615																																																																																																								
1337	Native Artifacts of Low Wind Village										1							16766615																																																																																																								
1338	The Second Hidden Ring										1							16766615																																																																																																								
1339	Ring of No Life										1							16766615																																																																																																								
1340	Ring of the Dethroned King										1							16766615																																																																																																								
1341	Poisoned Food										1							16766615																																																																																																								
1342	Document of Peace Treaty										1							16766615																																																																																																								
1343	Gateway Log										1							16766615																																																																																																								
1344	Gateway Log										1							16766615																																																																																																								
1345	Gateway Log										1							16766615																																																																																																								
1346	Thieves' Warning										1							16766615																																																																																																								
1347	Thieves' Warning										1							16766615																																																																																																								
1348	Thieves' Warning										1							16766615																																																																																																								
1349	Thieves' Warning										1							16766615																																																																																																								
1350	Thieves' Warning										1							16766615																																																																																																								
1351	Red Boar Imp Warrant										1							16766615																																																																																																								
1352	Document of Stone and Sword Society										1							16766615																																																																																																								
1353	Spriggan Lord's Document										1							16766615																																																																																																								
1354	List of Old Hunters										1							16766615																																																																																																								
1355	Certificate										1							16766615																																																																																																								
1356	Captain Pack's Covenant Document										1							16766615																																																																																																								
1357	Fake Order										1							16766615																																																																																																								
1358	Fake Certificate										1							16766615																																																																																																								
1359	Usus's Document of Advancement										1							16766615																																																																																																								
1360	Royal Envoy's Order										1							16766615																																																																																																								
1361	Venom Powder										1							16766615																																																																																																								
1362	Necklace of the Prestigious Family										1							16766615																																																																																																								
1363	Stolen Necklace										1							16766615																																																																																																								
1364	Light of Soul										1							16766615																																																																																																								
1365	Ciroro's Soul Stone										1							16766615																																																																																																								
1366	Scroll of Miracle Fountain										1							16766615																																																																																																								
1367	Lizardman's Record										1							16766615																																																																																																								
1368	Water Scroll										1							16766615																																																																																																								
1369	Record on Burning Eye										1							16766615																																																																																																								
1370	Snare's Life Document										1							16766615																																																																																																								
1371	Incantation Letter of Fury										1							16766615																																																																																																								
1372	Incantation Letter of Gale										1							16766615																																																																																																								
1373	Incantation Letter of Chaos										1							16766615																																																																																																								
1374	Magic Scroll										1							16766615																																																																																																								
1375	Sorcerer's Scroll										1							16766615																																																																																																								
1376	Sorcerer's Scroll										1							16766615																																																																																																								
1377	Sorcerer's Scroll										1							16766615																																																																																																								
1378	Sorcerer's Scroll										1							16766615																																																																																																								
1379	Scroll of Unlimited Food										1							16766615																																																																																																								
1380	Scroll of Unlimited Food										1							16766615																																																																																																								
1381	Scroll of Unlimited Food										1							16766615																																																																																																								
1382	Scroll of Unlimited Food										1							16766615																																																																																																								
1383	Scroll of Unlimited Food										1							16766615																																																																																																								
1384	Scroll of Unlimited Food										1							16766615																																																																																																								
1385	Bronzedran Message										1							16766615																																																																																																								
1386	Cloaking Scroll										1							16766615																																																																																																								
1387	Suhm's Tooth										1							16766615																																																																																																								
1388	Garot's Tooth										1							16766615																																																																																																								
1389	Yeti's Claw										1							16766615																																																																																																								
1390	Yeti's Claw										1							16766615																																																																																																								
1391	Yeti's Claw										1							16766615																																																																																																								
1392	Yeti's Claw										1							16766615																																																																																																								
1393	Kravas's Tooth										1							16766615																																																																																																								
1394	Third Hidden Ring										1							16766615																																																																																																								
1395	Ring of Control										1							16766615																																																																																																								
1396	Cave Bat Ring										1							16766615																																																																																																								
1397	Ring of Water Elemental Revelation										1							16766615																																																																																																								
1398	Stolen Ring										1							16766615																																																																																																								
1399	Book of Death										1							16766615																																																																																																								
1400	Shinewood's Fruit										1							16766615																																																																																																								
1401	Shinewood's Fruit										1							16766615																																																																																																								
1402	Shinewood's Fruit										1							16766615																																																																																																								
1403	Shinewood's Fruit										1							16766615																																																																																																								
1404	Dazzling Jewel										1							16766615																																																																																																								
1405	Temple Magic Stone										1							16766615																																																																																																								
1406	Armor Chest										1							16766615																																																																																																								
1407	Chest Containing Anchor										1							16766615																																																																																																								
1408	Darryl's Chest										1							16766615																																																																																																								
1409	Master's Deposit Box										1							16766615																																																																																																								
1410	Box Bound for Anchorville										1							16766615																																																																																																								
1411	Box Containing Item to be Purified										1							16766615																																																																																																								
1412	Fake Lamunesil's Box										1							16766615																																																																																																								
1413	Lamia's Venom Bottle Case										1							16766615																																																																																																								
1414	Hidden Treasure Chest										1							16766615																																																																																																								
1415	Box Containing Ancestor's Weapon										1							16766615																																																																																																								
1416	Gold Nugget Chest										1							16766615																																																																																																								
1417	Magic Box										1							16766615																																																																																																								
1418	Miriman's Treasure										1							16766615																																																																																																								
1419	Box Containing a Ring										1							16766615																																																																																																								
1420	Blank's Box										1							16766615																																																																																																								
1421	Arachnoids' Treasure Chest										1							16766615																																																																																																								
1422	Arachnoids' Treasure Chest										1							16766615																																																																																																								
1423	Arachnoids' Treasure Chest										1							16766615																																																																																																								
1424	Arachnoids' Treasure Chest										1							16766615																																																																																																								
1425	Arachnoids' Treasure Chest										1							16766615																																																																																																								
1426	Relics of Anchorville										1							16766615																																																																																																								
1427	Lamunesil's Second Chest										1							16766615																																																																																																								
1428	Maxo's Treasure Chest										1							16766615																																																																																																								
1429	Box of Sacrifices										1							16766615																																																																																																								
1430	Harpies' Treasure										1							16766615																																																																																																								
1431	Vampires' Treasure Chest										1							16766615																																																																																																								
1432	Vampires' Treasure Chest										1							16766615																																																																																																								
1433	Vampires' Treasure Chest										1							16766615																																																																																																								
1434	Archaic Talisman										1							16766615																																																																																																								
1435	Archaic Talisman										1							16766615																																																																																																								
1436	Archaic Talisman										1							16766615																																																																																																								
1437	Fourth Talisman of Neutralization										1							16766615																																																																																																								
1438	Gnome's Flame Document										1							16766615																																																																																																								
1439	Bolko's Might Talisman										1							16766615																																																																																																								
1440	Evil Talisman										1							16766615																																																																																																								
1441	Third Talisman of Neutralization										1							16766615																																																																																																								
1442	Seal of the Milieu										1							16766615																																																																																																								
1443	Seal of the Milieu										1							16766615																																																																																																								
1444	Seal of the Milieu										1							16766615																																																																																																								
1445	Seal of the Milieu										1							16766615																																																																																																								
1446	Ghost-Repelling Talisman										1							16766615																																																																																																								
1447	Ghost-Repelling Talisman										1							16766615																																																																																																								
1448	Ghost-Repelling Talisman										1							16766615																																																																																																								
1449	Ghost-Repelling Talisman										1							16766615																																																																																																								
1450	Ghost-Repelling Talisman										1							16766615																																																																																																								
1451	Token of Promise										1							16766615																																																																																																								
1452	Token of Promise										1							16766615																																																																																																								
1453	Token of Promise										1							16766615																																																																																																								
1454	Talisman of Earthquake										1							16766615																																																																																																								
1455	Talisman of Earthquake										1							16766615																																																																																																								
1456	Talisman of Earthquake										1							16766615																																																																																																								
1457	Talisman of Earthquake										1							16766615																																																																																																								
1458	Book That Tells Truth										1							16766615																																																																																																								
1459	Eye of Red Moth										1							16766615																																																																																																								
1460	1 Harpy-Repelling Flower										1							16766615																																																																																																								
1461	2 Harpy-Repelling Flowers										1							16766615																																																																																																								
1462	3 Harpy-Repelling Flowers										1							16766615																																																																																																								
1463	4 Harpy-Repelling Flowers										1							16766615																																																																																																								
1464	5 Harpy-Repelling Flowers										1							16766615																																																																																																								
1465	Very Poisonous Flower										1							16766615																																																																																																								
1466	Very Poisonous Flower										1							16766615																																																																																																								
1467	Very Poisonous Flower										1							16766615																																																																																																								
1468	Very Poisonous Flower										1							16766615																																																																																																								
1469	Festival Food										1							16766615																																																																																																								
1470	Poisoned Food										1							16766615																																																																																																								
1471	Traces of Deer										1							16766615																																																																																																								
1472	Traces of Deer										1							16766615																																																																																																								
1473	Traces of Deer										1							16766615																																																																																																								
1474	Traces of Deer										1							16766615																																																																																																								
1475	Plienza Elemental Stone										1							16766615																																																																																																								
1476	Jewel of Observation										1							16766615																																																																																																								
1477	Jewel of Observation										1							16766615																																																																																																								
1478	Jewel of Observation										1							16766615																																																																																																								
1479	Blue Magic Jewel										1							16766615																																																																																																								
1480	Small Gift Box										1							16766615																																																																																																								
1481	Fourth Missing Page										1							16766615																																																																																																								
1482	Second Missing Page										1							16766615																																																																																																								
1483	Third Missing Page										1							16766615																																																																																																								
1484	Seshrud's Document										1							16766615																																																																																																								
1485	Spriggan's Plan										1							16766615																																																																																																								
1486	Traveler's Fake Document										1							16766615																																																																																																								
1487	First Missing Page										1							16766615																																																																																																								
1488	Prophecy of the Milieu										1							16766615																																																																																																								
1489	Document of Magic Casting										1							16766615																																																																																																								
1490	Blueprint of Barandike Fortress 1										1							16766615																																																																																																								
1491	Blueprint of Barandike Fortress 2										1							16766615																																																																																																								
1492	Blueprint of Barandike Fortress 3										1							16766615																																																																																																								
1493	Unfavorable Information										1							16766615																																																																																																								
1494	Unfavorable Information										1							16766615																																																																																																								
1495	Records of the Yeti										1							16766615																																																																																																								
1496	Records of the Yeti										1							16766615																																																																																																								
1497	Records of the Yeti										1							16766615																																																																																																								
1498	Records of the Yeti										1							16766615																																																																																																								
1499	Records of the Yeti										1							16766615																																																																																																								
1500	Records on Mysterious Warrior Clan										1							16766615																																																																																																								
1501	Records on Mysterious Warrior Clan										1							16766615																																																																																																								
1502	Records on Mysterious Warrior Clan										1							16766615																																																																																																								
1503	Book of Havoc										1							16766615																																																																																																								
1504	Bat Repellant										1							16766615																																																																																																								
1505	Liquor for Ancestors										1							16766615																																																																																																								
1506	Gray Potion										1							16766615																																																																																																								
1507	Potion of Marylith Prosperity										1							16766615																																																																																																								
1508	Bat-Repelling Potion										1							16766615																																																																																																								
1509	Enigma Elixir										1							16766615																																																																																																								
1510	Curse Lifting Potion										1							16766615																																																																																																								
1511	Electricity Healing Potion										1							16766615																																																																																																								
1512	Festival Liquor										1							16766615																																																																																																								
1513	Potion of Observation										1							16766615																																																																																																								
1514	Magic Freeze Potion										1							16766615																																																																																																								
1515	Logo's Detection Potion										1							16766615																																																																																																								
1516	Windigo's Skull										1							16766615																																																																																																								
1517	Dead Man's Ashes										1							16766615																																																																																																								
1518	Dead Man's Ashes										1							16766615																																																																																																								
1519	Dead Man's Ashes										1							16766615																																																																																																								
1520	Dead Man's Ashes										1							16766615																																																																																																								
1521	Ghost Thief's Ashes										1							16766615																																																																																																								
1522	Ghost Thief's Ashes										1							16766615																																																																																																								
1523	Ghost Thief's Ashes										1							16766615																																																																																																								
1524	Ghost Thief's Ashes										1							16766615																																																																																																								
1525	Ghost Thief's Ashes										1							16766615																																																																																																								
1526	Ghost Thief's Ashes										1							16766615																																																																																																								
1527	Ghost Thief's Ashes										1							16766615																																																																																																								
