½ΊΕ³Έν	attribute	upgradable	check_range	target	range	requirement	condition	other_condition	arg1	arg2	arg3	arg4	arg_string	melee_attack	magic_attack	count	special_status	special_status_arg	move_pos	update_factor	reflect_melee_attack	reflect_magic_attack	reflect_heroic_attack	defense_melee_attack	defense_magic_attack	magic_resist_level_up	dispel_magic	transform_target	life_protection	dot	infect_around	add_spellcount	dmg_adjust	skill_factor_adjust	update_combat_point	regen_hp	convert_type	charge	skill_levelup	product	twice_packet	auto_attack	dynamic_target	action_on_action	at_field	summons	action_passive	duration_type	limited_max_level	release_target	visible_effect_type	game_bonus	item_use_type	cash	level_diff_type	detect	ride	game_effect	force	divide	resurrection	skill_union	target_restriction	disturb																																																																																																																																																																																																	
<Summon>Milfi Lv 3																																																																																																																																																																																																																																																																	
Milfi Lv 4	210	2	2	100	1															10	12			4																						8		2						1					1																																																																																																																																																																																																						
<Summon>Milfi Lv 4																																																																																																																																																																																																																																																																	
Milfi Lv 5	210	2	2	100	1															10	12			4																						8		2						1					1																																																																																																																																																																																																						
<Summon>Milfi Lv 5																																																																																																																																																																																																																																																																	
Milfi Lv 6	210	2	2	100	1															10	12			4																						8		2						1					1																																																																																																																																																																																																						
<Summon>Milfi Lv 6																																																																																																																																																																																																																																																																	
Milfi Lv 7	210	2	2	100	1															10	12			4																						8		2						1					1																																																																																																																																																																																																						
<Summon>Milfi Lv 7																																																																																																																																																																																																																																																																	
Milfi Lv 8	210	2	2	100	1															10	12			4																						8		2						1					1																																																																																																																																																																																																						
<Summon>Milfi Lv 8																																																																																																																																																																																																																																																																	
Milfi Lv 9	210	2	2	100	1															10	12			4																						8		2						1					1																																																																																																																																																																																																						
<Summon>Milfi Lv 9																																																																																																																																																																																																																																																																	
Milfi Lv 10	210	2	2	100	1															10	12			4																						8		2						1					1																																																																																																																																																																																																						
<Summon>Milfi Lv 10																																																																																																																																																																																																																																																																	
Bloom Lv 1	210	2	2	100	1															10	12			4																						8		2						1					1																																																																																																																																																																																																						
<Summon>Bloom Lv 1																																																																																																																																																																																																																																																																	
Bloom Lv 2	210	2	2	100	1															10	12			4																						8		2						1					1																																																																																																																																																																																																						
<Summon>Bloom Lv 2																																																																																																																																																																																																																																																																	
Bloom Lv 3	210	2	2	100	1															10	12			4																						8		2						1					1																																																																																																																																																																																																						
<Summon>Bloom Lv 3																																																																																																																																																																																																																																																																	
Bloom Lv 4	210	2	2	100	1															10	12			4																						8		2						1					1																																																																																																																																																																																																						
<Summon>Bloom Lv 4																																																																																																																																																																																																																																																																	
Bloom Lv 5	210	2	2	100	1															10	12			4																						8		2						1					1																																																																																																																																																																																																						
<Summon>Bloom Lv 5																																																																																																																																																																																																																																																																	
Bloom Lv 6	210	2	2	100	1															10	12			4																						8		2						1					1																																																																																																																																																																																																						
<Summon>Bloom Lv 6																																																																																																																																																																																																																																																																	
Bloom Lv 7	210	2	2	100	1															10	12			4																						8		2						1					1																																																																																																																																																																																																						
<Summon>Bloom Lv 7																																																																																																																																																																																																																																																																	
Bloom Lv 8	210	2	2	100	1															10	12			4																						8		2						1					1																																																																																																																																																																																																						
<Summon>Bloom Lv 8																																																																																																																																																																																																																																																																	
Bloom Lv 9	210	2	2	100	1															10	12			4																						8		2						1					1																																																																																																																																																																																																						
<Summon>Bloom Lv 9																																																																																																																																																																																																																																																																	
Bloom Lv 10	210	2	2	100	1															10	12			4																						8		2						1					1																																																																																																																																																																																																						
<Summon>Bloom Lv 10																																																																																																																																																																																																																																																																	
Teful Lv 1	210	2	2	100	1															10	12			4																						8		2						1					1																																																																																																																																																																																																						
<Summon>Teful Lv 1																																																																																																																																																																																																																																																																	
Teful Lv 2	210	2	2	100	1															10	12			4																						8		2						1					1																																																																																																																																																																																																						
<Summon>Teful Lv 2																																																																																																																																																																																																																																																																	
Teful Lv 3	210	2	2	100	1															10	12			4																						8		2						1					1																																																																																																																																																																																																						
<Summon>Teful Lv 3																																																																																																																																																																																																																																																																	
Teful Lv 4	210	2	2	100	1															10	12			4																						8		2						1					1																																																																																																																																																																																																						
<Summon>Teful Lv 4																																																																																																																																																																																																																																																																	
Teful Lv 5	210	2	2	100	1															10	12			4																						8		2						1					1																																																																																																																																																																																																						
<Summon>Teful Lv 5																																																																																																																																																																																																																																																																	
Teful Lv 6	210	2	2	100	1															10	12			4																						8		2						1					1																																																																																																																																																																																																						
<Summon>Teful Lv 6																																																																																																																																																																																																																																																																	
Teful Lv 7	210	2	2	100	1															10	12			4																						8		2						1					1																																																																																																																																																																																																						
<Summon>Teful Lv 7																																																																																																																																																																																																																																																																	
Teful Lv 8	210	2	2	100	1															10	12			4																						8		2						1					1																																																																																																																																																																																																						
<Summon>Teful Lv 8																																																																																																																																																																																																																																																																	
Teful Lv 9	210	2	2	100	1															10	12			4																						8		2						1					1																																																																																																																																																																																																						
<Summon>Teful Lv 9																																																																																																																																																																																																																																																																	
Teful Lv 10	210	2	2	100	1															10	12			4																						8		2						1					1																																																																																																																																																																																																						
<Summon>Teful Lv 10																																																																																																																																																																																																																																																																	
Pekki Lv 1	210	2	2	100	1															10	12			4																						8		2						1					1																																																																																																																																																																																																						
<Summon>Pekki Lv 1																																																																																																																																																																																																																																																																	
Pekki Lv 2	210	2	2	100	1															10	12			4																						8		2						1					1																																																																																																																																																																																																						
<Summon>Pekki Lv 2																																																																																																																																																																																																																																																																	
Pekki Lv 3	210	2	2	100	1															10	12			4																						8		2						1					1																																																																																																																																																																																																						
<Summon>Pekki Lv 3																																																																																																																																																																																																																																																																	
Pekki Lv 4	210	2	2	100	1															10	12			4																						8		2						1					1																																																																																																																																																																																																						
<Summon>Pekki Lv 4																																																																																																																																																																																																																																																																	
Pekki Lv 5	210	2	2	100	1															10	12			4																						8		2						1					1																																																																																																																																																																																																						
<Summon>Pekki Lv 5																																																																																																																																																																																																																																																																	
Pekki Lv 6	210	2	2	100	1															10	12			4																						8		2						1					1																																																																																																																																																																																																						
<Summon>Pekki Lv 6																																																																																																																																																																																																																																																																	
Pekki Lv 7	210	2	2	100	1															10	12			4																						8		2						1					1																																																																																																																																																																																																						
<Summon>Pekki Lv 7																																																																																																																																																																																																																																																																	
Pekki Lv 8	210	2	2	100	1															10	12			4																						8		2						1					1																																																																																																																																																																																																						
<Summon>Pekki Lv 8																																																																																																																																																																																																																																																																	
Pekki Lv 9	210	2	2	100	1															10	12			4																						8		2						1					1																																																																																																																																																																																																						
<Summon>Pekki Lv 9																																																																																																																																																																																																																																																																	
Pekki Lv 10	210	2	2	100	1															10	12			4																						8		2						1					1																																																																																																																																																																																																						
<Summon>Pekki Lv 10																																																																																																																																																																																																																																																																	
Battleground Defeated Race Halt	20	2	2	101	2												9																								2																																																																																																																																																																																																																								
<Battle>Cast Halt	10	2	2	100	1		4000													10																								9																																																																																																																																																																																																																					
Talisman of Heavenly Luck	10	2	2	100	1																																											2			1	14		1																																																																																																																																																																																																											
Super Talisman of Awakening (China)	10	2	2	100	1																																											2			1	3		1																																																																																																																																																																																																											
Talisman of Awakening+ (China)	10	2	2	100	1																																											2			1	3		1																																																																																																																																																																																																											
String of Family Happiness	10	2	2	100	1															116																																																																																																																																																																																																																																													
Bead of Friendship	10	2	2	100	1															116																																																																																																																																																																																																																																													
Toy of Blessing	10	2	2	100	1															116																																																																																																																																																																																																																																													
Moon Welcoming Toy	10	2	2	100	1															116																																																																																																																																																																																																																																													
Halloween Pumpkinhead Ability	10	2	2	100	1		1000													10																												2				7		1																																																																																																																																																																																																											
Halloween Avatar Ability	10	2	2	100	1		1000													10																												2				7		1																																																																																																																																																																																																											
Evil-warding Pumpkin	10	2	2	100	1															116																																																																																																																																																																																																																																													
Soul-calling Candle	10	2	2	100	1															116																																																																																																																																																																																																																																													
Holy Oak Branch	10	2	2	100	1															116																																																																																																																																																																																																																																													
Halloween Pumpkinhead Ability 2	10	2	2	100	1		1000													10																												2				7		1																																																																																																																																																																																																											
Halloween Pumpkinhead Ability 3	10	2	2	100	1		1000													10																												2				7		1																																																																																																																																																																																																											
Disturb	21	1	1	1	202	1								101			3			10																					1																																																																																																																																																																																																																								
Hurt Muscle	21	1	1	1	202	1								101						10																					1																																																																																																																																																																																																																								
Hater	21	1	1	1	1304	1								101						10																					1																																																																																																																																																																																																																								
Battle Machine	10	1	2	100	1	1														10																					2																																																																																																																																																																																																																								
Good Xenon	10	1	2	100	1	18														10																					2																																																																																																																																																																																																																								
Good Karon	10	1	2	100	1	17														10																					2																																																																																																																																																																																																																								
Distribute	40	1	2	100	303	1														10																					2																						1																																																																																																																																																																																																		
Purgatory	10	1	2	100	303	1														10																					2																																																																																																																																																																																																																								
Slayer of Evolution	10	3	2	100	1							1								10								5																				2	1																																																																																																																																																																																																																
Powerful Might	10	1	2	100	1	17	1000							106																											2																																																																																																																																																																																																																								
Moral Courage	10	1	1	100	1	17														10																					2																																																																																																																																																																																																																								
Orbiter of Evolution	10	3	2	100	1							1								10								5																				2	1																																																																																																																																																																																																																
Smart Sniper	10	1	1	100	1	18														10																					2																																																																																																																																																																																																																								
Great Honor	10	1	1	100	1	18														10																					2																																																																																																																																																																																																																								
Summoner of Evolution	10	3	2	100	1							1								10								5																				2	1																																																																																																																																																																																																																
Soul of Scion	10	1	1	100	1	1														10																					2																																																																																																																																																																																																																								
Guardian of Scion	10	1	1	100	1	1														10																					2																																																																																																																																																																																																																								
Power Stunner	21	1	1	1	202	17	1000							101			1																								2																																																																																																																																																																																																																								
Body Check	21	1	1	1	1404	17	1000		50	400				109					2	10																					1																																																																																																																																																																																																																								
Tidal Wave	21	1	1	1	304	17								101						10																					2																																																																																																																																																																																																																								
Ambush	1	1	1	1	202	17								101																											1			2																																																																																																																																																																																																																					
Break Armor	21	1	1	1	202	17								111						10																					2																																																																																																																																																																																																																								
Lose Faith	1	1	1	1	202	17								101																											2																																																																																																																																																																																																																								
Reverse Death	10	1	2	100	1	17	1000																														1				2																																																																																																																																																																																																																								
Legendary Slayer	10	1	2	100	1	17	1000										4																								2																																																																																																																																																																																																																								
War Cry	10	1	1	100	1	17														10																					2																																																																																																																																																																																																																								
Zen Shield	10	1	2	100	1	17														10				4																	2																																																																																																																																																																																																																								
Air Strike	10	1	2	100	1	17	1000							106																											2																																																																																																																																																																																																																								
Mind Eye	1	1	1	1	202	18								101																											1																																																																																																																																																																																																																								
Block Breaker	1	1	1	1	1404	18								101																											1																																																																																																																																																																																																																								
Siphon Wave	21	1	1	1	1304	18								103			3			10																					1																																																																																																																																																																																																																								
Twister	21	1	1	101	1304	18			2					103																10002		1									1																																																																																																																																																																																																																								
Push Away	1	1	1	1	202	18								101					1																						1																																																																																																																																																																																																																								
Remove Armor	21	1	1	1	202	18								101						10																					2																																																																																																																																																																																																																								
Toxic Hand	21	1	1	1	202	18								101			18																								2																																																																																																																																																																																																																								
Screamer	21	1	1	1	202	18								101			3			10																					2																																																																																																																																																																																																																								
Flash and Burn	21	1	1	101	1304	18			2					103						10																					2																																																																																																																																																																																																																								
Rush Hour	10	1	2	100	1	18														116																					2																																																																																																																																																																																																																								
Shadow Effector	10	1	2	100	1	18														10																					2																																																																																																																																																																																																																								
Swift	10	1	2	100	1	18														10																					2																																																																																																																																																																																																																								
Killing Breath	1	1	1	1	1404	1								101																											2																																																																																																																																																																																																																								
Mighty Foot	1	1	1	111	1304	1								101																											2																																																																																																																																																																																																																								
<Summon>Mighty Foot	9	1	1	111	1															10																								6																																																																																																																																																																																																																					
<Summon>Mighty Foot Skill 01	21	1	1	111	304									101						10																																	1																																																																																																																																																																																																												
Mighty Wing	1	1	1	111	304	1								101																											2																																																																																																																																																																																																																								
<Summon>Mighty Wing	9	1	1	111	1															10																								6																																																																																																																																																																																																																					
<Summon>Mighty Wing Skill 01	21	1	1	111	304									101						10																																	1																																																																																																																																																																																																												
Hell Infinity	21	1	1	1	1304	1			2					103																10002		1									1																																																																																																																																																																																																																								
Breath of Rage	21	1	1	101	1304	1	1000		50	400				109						10																					2																																																																																																																																																																																																																								
Lose Mind	21	1	1	1	202	1			2					103						10																					2																																																																																																																																																																																																																								
Sacred One	210	1	2	100	1	1																																			2					9																																																																																																																																																																																																																			
<Summon>Sacred One	9	1	1	111	1															10																											1																																																																																																																																																																																																																		
<Summon>Sacred One Skill 01	10	1	1	1	202															116																																	1																																																																																																																																																																																																												
<Summon>Sacred One Skill 02	10	1	1	1	202															10																																	1																																																																																																																																																																																																												
Call on Nature	210	1	2	100	1																																				2					7													1																																																																																																																																																																																																						
<Summon>Call on Nature																																																																																																																																																																																																																																																																	
Mana Union	10	1	2	100	1	1														10																					2																																																																																																																																																																																																																								
Perfect Sense	10	1	2	100	1	1														10																					2																																																																																																																																																																																																																								
Mind Jumper	10	1	2	100	1	1														10																					2																																																																																																																																																																																																																								
World Ruler	10	1	2	100	1	1														10																					2																																																																																																																																																																																																																								
Force Claw	9	1	2	111	1															10																																																																																																																																																																																																																																													
Wing Over	9	1	2	111	1															10																																																																																																																																																																																																																																													
Piercing Tooth	9	1	2	111	1		1000		5	150				106																																																																																																																																																																																																																																																			
Strong Mind	9	1	2	111	1															10																																																																																																																																																																																																																																													
Iron Scale	9	1	2	111	1															10																																																																																																																																																																																																																																													
Dragon Might	9	1	2	111	1															10																																																																																																																																																																																																																																													
Dragon Wing	9	1	2	111	1															10																																																																																																																																																																																																																																													
Dragon Head	9	1	2	111	1															10																																																																																																																																																																																																																																													
