TID	捞抚	汲疙
2808	丢失的装备	贝尼赛特丢失的装备
2809	乐器箱子	装有乐师艾恩德敏丢失的乐器的箱子
2810	怪物粪便	散发极其恶心气味的怪物的新鲜粪便
2811	战斗兵的头盔	狼头人战斗兵戴的老式头盔
2812	断掉的弓	胡迪安经常使用于捕猎中，但现在是断裂的弓
2813	断掉的箭支	原来是胡迪安的心腹，但现在是断裂的弓箭
2814	硬化石	强化皮护带时使用的矿石
2815	毒袋	在毒性食人花的身上可以得到的，装满毒的危险的袋子
2816	蚕茧	从蝉丝壳中抽出制作月精灵的衣服时使用的线
2817	飞蛾粉	飞蛾丢下的粉
2818	琥珀石	有着神秘的光泽而闪耀的稀有的宝石
2819	拉卡塔玛拉的头盔	带领狼头人部队的拉卡塔玛拉的华丽的老式头盔
2820	威尔纳罗的心脏	吸血鬼维纳朗里的干瘪心脏
2821	旧文书	基利塞特保管的古老的文书
2822	中毒的骨头	从蛛网毒蜘蛛体内获得的充满毒素的骨头
2823	研究的结果物	以理奇奥的委托，玛依洛研究的成果
2824	断裂的剑	拉伊利恩断裂的剑
2825	修复的剑	修好的拉伊利恩的剑
2826	撕破的研究书	从布兰马勒的研究书中撕裂出的一部分
2827	女王的项链	费理阿内斯带过的项链
2828	被诅咒的箱子	悉阿夏在找的附有诅咒的箱子
2829	厚重的刺鳞	从女妖 梅伊德的身上可以得到的，很厚的鳞片
2830	突击兵的剑	斯波理根突击兵们使用的粗重的剑
2831	斯波理根报告书	记载着斯波理根策划的计划的文书
2832	多鲁汗的剑	斯波理根战士多鲁汗使用过的剑
2833	追踪手套	斯波理根追击兵们使用的粗重而没有光泽的手套
2834	战士头盔	斯波理根战士为了保护头部使用的实用性优先的头盔
2835	铁甲兵的铠甲	斯波理根铁甲兵使用的盔甲
2836	吸血鬼的牙齿	在老吸血鬼身上脱离的锋利牙齿
2837	查拉修卡的剑	强大的斯波理根王查拉修卡使用过的巨大的剑
2655	同盟的证明	怪物们结为同盟时，拿的证物
2662	马饲料	贝德理恩使用的马饲料
2789	锁头	理奇奥制作的无法打开的锁
2791	盟约证明	怪物们结同盟时，发誓同心协力的证物
2796	树人的茎	从树人的身上可以得到的茎
2803	放置的侦察道具	长时间搁置在欢喜孢子地带的侦查区
2805	装满的瓶子	用地下水装满的瓶
2810	怪物粪便	散发极其恶心气味的怪物的新鲜粪便
2816	蚕茧	从蝉丝壳中抽出制作月精灵的衣服时使用的线
2820	威尔纳罗的心脏	吸血鬼维纳朗里的干瘪心脏
2828	被诅咒的箱子	悉阿夏在找的附有诅咒的箱子
3028	血的契约书	刻着血光文字的古老的文书
3029	玛幽理阿昆虫	捕获称作马尤利亚的昆虫
3030	易燃物桶	装有点火物品的筒
3031	不会干的油瓶	油不会干掉的神秘的瓶
3032	断裂剑之刃	拉伊利恩的断裂的剑刃
3033	胡迪安的工作刀	胡迪安工作时爱用过的刀
899	空瓶	里边什么也没有的平凡的空瓶
897	融化的雪水	装满雪融水的水瓶
1480	小礼物箱子	贝尔本送给努因塞特的装满礼物的小箱子
1554	魔法箱子	根据再生意识用诅咒封印的箱子
2684	豺狼人变身药水	变身为豺狼人 持续四分钟\n追加攻击力+36\n追加HP+132
2686	贝德里恩变身药水	变身为贝德里恩 持续四分钟\n追加攻击力+54\n追加 防御力+21
2687	鹰头人变身药水	变身为鹰头人 持续四分钟\n追加攻击力+ 54\n追加 HP+216
2689	乌鸦变身药水	变身为乌鸦 持续四分钟\n追加攻击力+60\n追加 HP+244
2685	鸭嘴兽变身药水	变身为鸭嘴兽 持续四分钟\n追加攻击力+77
2636	豺狼人之血	豺狼人血\n土地防御的炖肉\n用于大地防御的炖肉的\n材料
2637	风茎	触手怪的身上的茎\n火防御的炖肉\n用于火焰防御的炖肉的\n材料
2638	鸭嘴兽之内脏	鸭嘴兽的内脏\n魔法防御的炖肉\n用于精神防御的炖肉的\n材料
2639	海之眼	贝德里恩的身上的眼睛\n空气防御的炖肉\n用于呼吸防御的炖肉\n的材料
2640	绿鼠肉	蚊鸟的内脏中可以得到的鼠肉\n水防御的炖肉\n用于河川防御的炖肉\n的材料
2641	鹰头人羽毛	从鹰头人的身上抽出的大羽毛
2642	黑色毒羽毛	从乌鸦的翅膀上摘下的黑色羽毛
2991	狼人皮	用于炼金术的豺狼人变身药水的\n材料
2992	鸭嘴兽皮	用于炼金术的鸭嘴兽变身药水的\n材料
2993	贝德里恩之皮	用于炼金术的贝德里恩变身药水的\n材料
2677	鹰头人皮	用于炼金术的鹰头人变身药水的\n材料
2678	狼头人皮	从狼头人身上得来的特殊的皮
2994	乌鸦皮	炼金术的乌鸦变身药水的\n材料
2679	狼人肉	豺狼人臀肉\n土地防御的炖肉\n用于大地防御的炖肉的\n材料
2680	鸭嘴兽肉	鸭嘴兽的后腿肉\n魔法防御的炖肉\n用于精神防御的炖肉的\n材料
2681	伯泰斯肉	蚊鸟的胸肉\n水防御的炖肉\n用于河川防御的炖肉的\n材料
2682	鹰头人肉	鹰头人的胳膊肉\n火防御的炖肉\n用于火焰防御的炖肉的\n材料
2683	乌鸦肉	乌鸦的翅膀肉\n空气防御的炖肉\n用于呼吸防御的炖肉的\n材料
2690	豺狼人变身配方	提高豺狼人变身药水的制作成功率
2691	鸭嘴兽变身配方	提高鸭嘴兽变身药水的制作成功率
2692	贝德理恩变身配方	提高贝德里恩变身药水的制作成功率
2693	鹰头人变身配方	提高鹰头人变身药水的制作成功率
2694	狼头人的变身调制书	提高狼头人变身药水的制作成功率
2695	乌鸦变身配方	提高乌鸦变身药水的制作成功率
3021	赌博师的铜箱	幸运的铜箱子\n\n装有比较难找的东西,\n但是打开之前是无法知道的。
3022	赌博师的银箱	幸运的银箱子\n\n装有难找的东西,\n但是打开之前是无法知道的。
3023	赌博师的金箱	幸运的金箱子\n\n装有很难找到的东西,\n但是打开之前是无法知道的。
5001	松饼	中国传统美食，中秋节吃的.\n\n攻击力上升+7 持续二十分钟
5002	栗子	中国特产的一种植物果实，甘甜美味.\n以多种方法做成料理。\n\n防御力上升+7 持续二十分钟
5003	柿子	中国特产的一种水果.\n根据保管方法的不同，四季都能吃的到.\n\n最大生命力上升+35 持续二十分钟
3309	旗帜	大霸王远征使用的旗帜
3311	赦免状	获得赎罪机会的文书\n是根据精灵的判断来给的，是很难得到的。
3315	红色气球	月精灵气球\n打破气球就可以得到多种品目\n按shift分开一个一个使用要不拿不到物品
3316	橙色气球	月精灵气球\n打破气球就可以得到多种品目\n按shift分开一个一个使用要不拿不到物品
3317	黄色气球	月精灵气球\n打破气球就可以得到多种品目\n按shift分开一个一个使用要不拿不到物品
3318	绿色气球	月精灵气球\n打破气球就可以得到多种品目\n按shift分开一个一个使用要不拿不到物品
3319	青色气球	月精灵气球\n打破气球就可以得到多种品目\n按shift分开一个一个使用要不拿不到物品
3320	蓝色气球	月精灵气球\n打破气球就可以得到多种品目\n按shift分开一个一个使用要不拿不到物品
3321	紫色气球	月精灵气球\n打破气球就可以得到多种品目\n按shift分开一个一个使用要不拿不到物品
3323	月光气球组合说明书	可以组合7种色彩的月精灵气球的\n说明书\n\n红色气球1个\n朱黄气球1个\n黄色气球1个\n绿色气球1个\n青色气球1个\n蓝色气球1个\n紫色气球 1个
3322	月光气球组合说明书	收集所有的月精灵气球组合制作的气球\n打破气球就可以得到多种品目
3324	<诞生纪念>糕	攻击力上升+7 持续二十分钟
3325	<诞生纪念>栗子	防御力上升+7 持续二十分钟
3326	<诞生纪念>柿子	最大生命力上升+35 持续二十分钟
3327	<诞生纪念>召唤之玉	用于召唤小组内所有队员的宝珠
3328	<诞生纪念>回归之玉	用于忘记所有技能 重新进行分配的宝珠
486	祝福油	强化武器或防御道具的基本能力\n
463	攻击符石<Lv1>	追加物理攻击力上升+1
1829	攻击符石<Lv2>	追加物理攻击力上升+2
464	攻击符石<Lv3>	追加物理攻击力上升+3
466	精准符石<Lv1>	追加攻击率上升+4
467	精准符石<Lv2>	追加攻击率上升+6
468	精准符石<Lv3>	追加攻击率上升+8
588	冷气符石<Lv1>	冷气攻击力+6追加\n(攻击成功时: 以4%概率5秒之间\n对方的移动速度变慢)\n不能和其它等级的冷气符石一起\n镶嵌
1831	冷气符石<Lv2>	冷气攻击力+7追加\n(攻击成功时: 以5%概率5秒之间\n对方的移动速度变慢)\n不能和其它等级的冷气符石一起\n镶嵌
589	冷气符石<Lv3>	冷气攻击力+8追加\n(攻击成功时: 以6%概率5秒之间\n对方的移动速度变慢)\n不能和其它等级的冷气符石一起\n镶嵌
591	电击符石<Lv1>	电击攻击力+6追加\n(攻击成功时: 以4%概率3秒之间\n对方晕眩)\n不能和其它等级的电击符石一起\n镶嵌
1849	电击符石<Lv2>	电击攻击力+7追加\n(攻击成功时: 以5%概率3秒之间\n对方晕眩)\n不能和其它等级的电击符石一起\n镶嵌
592	电击符石<Lv3>	电击攻击力+8追加\n(攻击成功时: 以6%概率3秒之间\n对方晕眩)\n不能和其它等级的电击符石一起\n镶嵌
594	剧毒符石<Lv1>	30秒之内向对方以3秒为间隔\n+15毒打击 (成功概率: 4%)\n不能和其它等级的剧毒符石一起\n镶嵌
1837	剧毒符石<Lv2>	30秒之内向对方以3秒为间隔\n+20 毒打击 (成功概率: 5%)\n不能和其它等级的剧毒符石一起\n镶嵌
595	剧毒符石<Lv3>	30秒之内向对方以3秒为间隔\n+25 毒打击 (成功概率: 6%)\n不能和其它等级的剧毒符石一起\n镶嵌
597	护盾攻击符石<Lv1>	被攻击时以5%概率\n反射打击2
598	护盾攻击符石<Lv2>	被攻击时以5%概率\n反射打击4
599	护盾攻击符石<Lv3>	被攻击时以5%概率\n反射打击6
465	格档符石<Lv1>	追加盾牌格挡率上升+2%
469	格档符石<Lv2>	追加盾牌格挡率上升+4%
470	格档符石<Lv3>	追加盾牌格挡率上升+6%
471	防御符石<Lv1>	追加物理防御力上升+2
1841	防御符石<Lv2>	追加物理防御力上升+3
472	防御符石<Lv3>	追加物理防御力上升+4
474	生命符石<Lv1>	追加生命+50\n不能和其它等级的生命符石一起\n镶嵌
1843	生命符石<Lv2>	追加生命+65\n不能和其它等级的生命符石一起\n镶嵌
475	生命符石<Lv3>	追加生命+80\n不能和其它等级的生命符石一起\n镶嵌
480	魔力符石<Lv1>	追加魔力+50\n不能和其它等级的魔力符石一起\n镶嵌
1833	魔力符石<Lv2>	追加魔力+65\n不能和其它等级的魔力符石一起\n镶嵌
481	魔力符石<Lv3>	追加魔力+80\n不能和其它等级的魔力符石一起\n镶嵌
600	体力符石<Lv1>	最大体力上升+6%\n不能和其他等级的体力符石一起\n镶嵌
1853	体力符石<Lv2>	最大体力上升+8%\n不能和其他等级的体力符石一起\n镶嵌
601	体力符石<Lv3>	最大体力上升+10%\n不能和其他等级的体力符石一起\n镶嵌
840	精神符石<Lv1>	最大魔力上升+6%\n不能和其他等级的精神符石一起\n镶嵌
1851	精神符石<Lv2>	最大魔力上升+8%\n不能和其他等级的精神符石一起\n镶嵌
841	精神符石<Lv3>	最大魔力上升+10%\n不能和其他等级的精神符石一起\n镶嵌
1169	物理抵抗符石<Lv1>	物理抵抗力上升+6%\n不能和其他水平的物理抵抗符石一起\n镶嵌
1839	物理抵抗符石<Lv2>	物理抵抗力上升+8%\n不能和其他等级的物理抵抗符石一起\n镶嵌
1170	物理抵抗符石<Lv3>	物理抵抗力上升+10%\n不能和其他等级的物理抵抗符石一起\n镶嵌
1172	技能符石<Lv1>	技能防碍概率上升+4%\n不能和其他等级的技能符石一起\n镶嵌
1847	技能符石<Lv2>	技能防碍概率上升+6%\n不能和其他等级的技能符石一起\n镶嵌
1173	技能符石<Lv3>	技能防碍概率上升+8%\n不能和其他等级的技能符石一起\n镶嵌
603	毒性抵抗符石<Lv1>	毒持续时间减少4秒\n不能和其他等级的毒性抵抗符石一起\n镶嵌
605	毒性抵抗符石<Lv2>	毒持续时间减少8秒\n不能和其他等级的毒性抵抗符石一起\n镶嵌
604	毒性抵抗符石<Lv3>	毒持续时间减少12秒\n不能和其他等级的毒性抵抗符石一起\n镶嵌
606	慢性抵抗符石<Lv1>	移动速度变慢的时间减少2秒\n不能和其他等级的慢性抵抗符石一起\n镶嵌
608	慢性抵抗符石<Lv2>	移动速度变慢的时间减少4秒\n不能和其他等级的慢性抵抗符石一起\n镶嵌
607	慢性抵抗符石<Lv3>	移动速度变慢的时间减少6秒\n不能和其他等级的慢性抵抗符石一起\n镶嵌
609	抵抗格挡符石<Lv1>	对方格挡的概率减少5%\n不能和其他等级的抵抗格挡符石一起\n镶嵌
611	抵抗格挡符石<Lv2>	对方格挡的概率减少10%\n不能和其他等级的抵抗格挡符石一起\n镶嵌
610	抵抗格挡符石<Lv3>	对方格挡概率减少15%\n不能和其他等级的抵抗格挡符石一起\n镶嵌
613	恢复魔力符石<Lv1>	每10秒恢复魔力+4\n不能和其他等级的恢复魔力符石一起\n镶嵌
1835	恢复魔力符石<Lv2>	每10秒恢复魔力+5\n不能和其他等级的恢复魔力符石一起\n镶嵌
614	恢复魔力符石<Lv3>	每10秒恢复魔力+6\n不能和其他等级的恢复魔力符石一起\n镶嵌
616	恢复生命符石<Lv1>	每10秒恢复生命+4\n不能和其他等级的恢复生命符石一起\n镶嵌
1845	恢复生命符石<Lv2>	每10秒恢复生命+5\n不能和其他等级的恢复生命符石一起\n镶嵌
617	恢复生命符石<Lv3>	每10秒恢复生命+6\n不能和其他等级的恢复生命符石一起\n镶嵌
1848	血的名单	记载着成为非常重要情报的名字的名单
1850	月光印章	使用刻有迪拉因名字的银制作的印章
1852	水晶球	炼金术士使用的神秘珠子
1854	吸血鬼血之花	只生长在吸血鬼生存地带的阴气重重的花
3335	滚刀哥布林的胆囊	除了炼金术中的用途以外，没有其他用途的胆囊
3336	绿色药水	能解除镜珠炼金术的药水
3337	反射石板	为施展魔法而使用的特殊石板
3338	空间扭转符咒	可以使用空间翻转魔法的符咒
3339	时间扭转符咒	可以使用时间翻转魔法的符咒
3340	红色药瓶	不知道用途的药瓶
3341	红色果实	与邪雷多的扩散有关的果实
3342	红色果实	与邪雷多的扩散有关的果实
3343	复活之药	与邪雷多的复活有关的要
3344	生命宝石	与邪雷多的复活有关的宝石
3345	果实分支	邪雷多的复活时的枝痕
3346	果实分支	邪雷多的复活时的枝痕
3347	果实分支	邪雷多的复活时的枝痕
3348	邪雷多的心脏	进入怪物身体力的绿色果实变化而成的
3349	秘密联络信件	怪物和德米特里之间来回的信
3350	德米特里的炼金术坛子	德米特里使用的特制炼金术缸
3351	德米特里的操纵符咒	德米特里使用的操纵符咒
3352	斯修罗德的灵魂箱子	封印斯修罗德灵魂的箱子
3353	象牙做的箱子	月光携带的高级箱子
3354	月光项链	月光携带的秘密项链
3355	红色书	不知道内容的红色书
3356	黑暗塞提奥的纪录	记载着黑色 塞提奥的被禁止的图书
3357	野兽宝石	一时能操纵怪物的宝石
3358	卡拉菲的御剑	刻有月精灵历史之王卡拉菲名字的死神的证据
3359	贝兰朱的文书	刻有月精灵历史宰相贝兰朱名字的死神的证据
3360	夜精灵的钱袋	月精灵们携带的钱袋
3361	暗黑项链	具有漆黑的黑暗力量的项链
3362	雇佣兵的遗骨	被怪物抢走的雇佣兵骸骨
3363	巴比的信件	巴比写给措弊的信
3364	罗德岛文书	记载着气候地图功能恢复方法的文书
3365	宝物储藏库钥匙	鹰身人坚守的宝物储存库钥匙
3366	巴尔格斯的长枪	矛尖像钥匙的长枪。具有强制停止气候地图的力量。
3367	遮天之盾	可以驱散遮天云的盾牌.
3368	 深海之长袍	可以自由自在地操纵水的力量的袍子.
3369	翻地之斧头	可以引起土地震动的斧头
3439	罗德岛的地貌图	把气候地图的详细构造，以画面形式表示的文书
3370	精灵的回答书	为应答判官的祈祷出现的精灵应答文书
3371	帕里阿内的文书	为了容易看懂精灵的应答文书而解释的文书
3372	黑红的灰	希尔兰希乌的特定地区中填埋的灰。气味很难闻。
3373	红色花冠	含有鲜血的奇妙的宝盒
3374	艾罗勒的魔法书	对于艾罗勒魔法中的一个详细记载的文书
3375	金袋	代替特伦武器而付出的金袋子
3376	乌鸦幼崽尾巴羽毛	从乌鸦幼崽的尾巴中掉出的羽毛
3377	豪瓦肯的信件	豪瓦肯写给麦迪特鲁斯的信
3379	许愿象牙	在象牙堆村庄里得到的神秘象牙
3380	阿拉斯的共鸣石	不显露秘密力量的孔明石
3381	遗迹纪录石板	记载着对于古代遗址的详细内容德石板
3382	黑暗之珠	具有底细不明的力量的珠子.
3383	行会管理员的印章	平凡的行会专家的印章
3384	胁迫状	记载着要挟塞提恩的内容的文书
3385	鹰身人食物	鹰身人喜爱的食物。里边有问题箱。
3386	树液坛子	装有勒希多水液的缸
3387	勒希多的树液	装有少量勒希多水液的瓶
1532	毁灭之书	记载吸血鬼咒文的强力魔法书
3388	希尔兰希乌的地图	详细划出希尔兰希乌的全体形态的地图
3389	旅行家的金库钥匙	一般给旅行者的金库钥匙. 模样相同，其实都不一样
3390	凯勒蒙德的袋子	里面装有大凯勒蒙德的袋子
3391	外交文书缀	含有德尔法拉斯的机密外交文书的卷宗
3392	剥落的外交文书	被妖怪弄丢的外交文书
3393	蝙蝠翅膀弓	用蝙蝠翅膀的皮膜作出的不错的弓
3394	麦卡拉的信件	麦卡拉写给佛罗斯多的信
3395	贝多拉的护手	雇佣兵贝多拉使用过的护手
3396	团结之肉豆蔻	以主人为中心团结起来的肉豆蔻
3397	血族的戒指	吸血鬼一族的贵重宝物
3398	精灵罗盘的设计图	记载制作精灵指南针方法的文书
3399	精灵罗盘	用精灵的力追踪对方位置的装置
3400	助手的信	想给肯特提供帮助的无名信
3401	染血的土	渗有死在大克林森的游客之血的泥土
3402	血的花冠	盛有鲜血的宝盒
3403	复活之冠	用于复活功的炼金术工具
3404	亡者之路方向石	给游客指路的放在亡者之路的特殊的石头
3405	保护符咒	提高精力使游客不迷路的
3406	血镜护盾	具有反射诅咒作用的盾牌
3407	希姆拉的大锤	传说中的英雄希姆拉埋在希尔兰希乌土地的武器
3408	精灵花纹瓶	印有精灵花纹的光亮的瓶子
3409	象牙印章	象牙墓村里的非常重要的印章 ，其功能及能力尚不确定
3410	兽人的遗骨箱	象牙墓村里的兽人的遗骨盒
3411	沾血的符咒	粘有游客之血的阴森的符
3412	咒文项链	写有奇怪咒文的项链
3413	帕拉文德教布教文	写有募集绞刑者的告示板
3414	赛德拉高拉	生长在沙漠的奇妙的植物，既是药材也是毒草，注意汲取
3415	打击者的心脏	吸血鬼修克的心脏，具有很强的魔力
3416	诈骗犯们的信件	骗子们互相交流的信件
3417	巴拉卡斯的铠甲	巴拉卡斯家传的珍贵盔甲
3418	德诶斯诺特做的药	德诶斯诺特特意处方给措弊的要，成份不明
3419	死亡之歌石板	刻有关于死神的纪录的石板
3420	自信石板	死神造魔法的魔法石板
3421	自信石板	死神造魔法的魔法石板
3422	自信石板	死神造魔法的魔法石板
3423	迈实理阿雷的宝物	迈实理阿雷为了寻宝而隐藏的宝物
3424	确认卷	寻找迈实理阿雷的宝物时必需的确认券
3425	库洛的信件	库洛的密封的信件
3426	追踪者们的信	追踪乌苏斯的人们写的重要内容的信件
3427	说明圆盘	写有乌苏斯追踪者们名字的圆板
3428	撕破的信件	朋友寄给巴拉卡斯的信件
3429	扎勒卡的剑	名为扎勒卡的雇佣兵的剑
3430	月光花冠	月精灵做的魔法宝盒，多用途
3431	黄金头盔	尘封的但高价的头盔
3432	被诅咒的短剑	很难求的黑色魔法短剑
3433	十字剑	战士克罗斯曾拥有的活剑
3434	蜂蜜坛子	满盛贝拉朱艾拉花蜜的坛子
3440	生锈的铠甲	游客死了后遗留的盔甲
3441	旧盾牌	游客死了后遗留的盾牌
3442	'高级炼金术'	炼金市伊希塔利乌斯写的关于炼金术的书
3443	伯兰巴特磁铁矿	巨蟒伯兰巴特的鳞变形而生的紫铁矿
3444	霸王之证罗盘	罗密特乌斯精心制作的东西，不知可否动作
3445	至尊戒指	突然出现的古代戒指，给人不想的感觉
3446	沙漠鼹鼠陷阱	用于捕抓沙漠鼢鼠而特制的弶
3447	干皮革碎片	斯卡在 希尔兰希乌发现的干皮碎片
3448	装有皮革的袋子	装有在希尔兰希乌搜集的皮子的袋子
3449	森兰王国的徽章	森兰王国的全军徽章
3450	治愈之棒	森兰王国魔法杖，只要带着就有疗效
3451	巴萨拉的地图	估计是巴萨拉制作的奇怪地图
3452	蛇眼戒指	可以使看不见的东西看得见的魔法戒指
3453	不透明的药瓶	看不见里面的瓶子
3454	吸收符咒	可以无尽吸水的
3455	多尔利的袋子	多尔利高价求购的装有情报的袋子，内容不祥
3456	银光箱子	估计是巴萨拉留在希尔兰希乌的箱子，内容物不祥
3457	黑水符咒	污染水的符咒，其结果是水变得越喝越渴
3458	乞丐诅咒文书	被诅咒的人一分钱也挣不到而沦落为乞丐的古代诅咒文
3459	商人的翡翠	小孩拳头大小的绿宝石
3460	菲利西雅的包	菲利西雅丢了的包
3461	文书的抄本	用奇怪的文字艰难写出来的文件手写备份
3462	撕破的衣服	估计为游客的衣服，上面有着用血写的文章
3463	巴里安特兰的盾牌	死在兽人地盘的巴里安特兰的盾牌
3464	雷德普莱的酒	普德普莱小偷群亲自酿的酒，非常好喝而闻名
3465	指路旗	指引去往泰拉诺阿的路
3466	阿米斯塔的猫眼石	白宝石中纯度非常高的白宝石，以高价交易
3467	雇佣兵的遗骨	退色成很白的雇佣兵之骨
3468	雇佣兵的遗骨	退色成很白的雇佣兵之骨
3469	雇佣兵的遗骨	退色成很白的雇佣兵之骨
3470	巴勒达克的遗骨	名为巴勒达克的雇佣兵之骨，头部有重伤痕迹
3471	拉因布罗特	巴勒达克的传说中的斧头
3472	旅行家的包袱	游客丢掉的包袱
3473	灰色书	巫师们在沙漠发现的奇怪的书，被锁上了小锁
3474	魔法师的沙漠牛	巫师们骑过来的沙漠牛
3475	旧雨靴	长时间磨旧的靴子，粘点血
3476	逃避者的信	爱情逃避者们留下的信
3477	镶有宝石的肉	宝石地中占有宝石的肉
3478	宝石袋子	装有宝石原石的袋子
3479	加工的蓝宝石	吉比尼亚加工的蓝宝石
3480	精灵的标志	精灵为了判官的考试而物质化的标志
3481	世界戒指	给精灵的判官的证明工具之一
3482	格兰斯的弩	名为格兰斯的月精灵毁坏的名宫
3483	混沌的说话集	记载了关于麦斯特的眼睛的故事
3484	麦斯特之眼	具有千里眼的能力
3485	奇怪的戒指	游客托付的戒指，发出奇妙的光，伴随奇怪之声
3486	防御魔法封印	防御风魔法的封印
3487	侍从的包	迈布玲的侍从带在腰的包
3488	气象符咒	解魔力时使用的强有力的符咒
3489	泥土人偶箱子	装有泥娃的箱子
3490	阿兰布斯的肉豆蔻	小偷王阿兰布斯使用的肉豆蔻
3491	巴尔肯的餐刀	巴尔肯爱用的餐刀
3492	沾血的杖	用旅行者的血染红的法杖，散发着阴沉的力量
3493	黑色印章	传说黑色袍子的游客捡到的印章
3494	帕拉苏轼的角	西方的妖怪帕拉苏轼的角
3495	塞纳斯的灵魂石	兹万的朋友塞纳斯的灵魂被快风的魔法吸进去而生成的结晶
3500	托雷的介绍信	以地灵字体写的很乱的介绍信
3501	狼人的犬牙齿	灰狼人的龅牙，很容易被拔出来不需要工具
3502	洞穴人领域标志	生活在混沌时期的洞穴人留下来的领域标记
3503	曼苏勒的手稿	炼金师曼苏勒留下来的经书
3504	希根斯的手稿	炼金师希根斯留下来的经书
3505	装有手稿的箱子	里面有两本经书
3506	沾血的信件	德莱克斯基塔遗留的信
3507	洞穴人的觉醒剂	洞穴人睡眠剂的解药
3508	香料箱子	内涵巴里奥斯香料的箱子
3509	克里托斯连作 上卷	克里托斯连载上册，记载了内旦和瓦库勒相逢的故事
3510	克里托斯连作 下卷	克里托斯连载的下册，记载了西里普斯和内旦们的决斗
3511	古代酒石瓶	埋在死气沉沉的村子里的高级石酒瓶
3512	携带砧台	随时随地可以动作的魔法砧
3513	南方的香料	南方过海弄过来的香料
3514	宝石之地的纪录	记录有多样的宝石地的袍子
3515	东方太阳之眼	隐身村子的宝物红宝石
3516	西方月亮的眼泪	隐身村子的宝物绿宝石
3517	探索符咒	为了找到指定物而经常使用的符
3518	切斯特的头盔	人类骑士切斯特戴过的头盔
3519	遗骨箱	内涵诺布朋友遗骨的箱子
3520	损伤的回力镖	格拉希阿用在封印的卡塔里亚之一. 有微弱的缝
3521	判断之锤	对于月精灵很重要的锤子，只在制作魔法工具时使用
3522	屈服回力镖	为了替代损坏的 卡塔里亚而造出来的，外形一模一样
3523	土器碎片	托雷在亚阿兰挖掘的瓷碎片.拼凑碎片最终为一个陶瓷
3524	高斯特玛的坛子	炼金师高斯特玛的陶瓷，不知如何轮到亚阿兰
3525	哈门托特的戒指	很久以前住在温德林的哈门托特王的戒指
3526	伊鲁达德锤子	用在制作巴拉库达时使用的锤子
3527	帕尔干的心脏	只有勇者才能用手去抓的魔法石头
3528	巴拉库达的碎片	巴拉库达为了操纵怪物而偶尔使用的刀片
3529	碑石碎片	赞颂吴格德拉施的恩公的墓碑之碎片
3530	碑石碎片	赞颂吴格德拉施的恩公的墓碑之碎片
3531	碑石碎片	赞颂吴格德拉施的恩公的墓碑之碎片
3532	玛理丝的盾牌	传说名为马理丝的骑士所用过的盾牌
3533	射线法杖	传说吴格德拉施留在塔布托村的法杖之一
3534	安民法杖	传说吴格德拉施留在塔布托村的法杖之一
3535	爬行者之卵	多用途的爬行者蛋，味道也很不错
3536	爬行者之卵	多用途的爬行者蛋，味道也很不错
3537	爬行者之卵	多用途的爬行者蛋，味道也很不错
3538	毒腺果实	苦味的奇妙果实，只生长在干燥的地方
3539	透视咒文书	封面写着“任何人都可以做到轻松透视的诅咒法”
3540	巨人的故事	写有关于巨人的传说的书本
3541	闪烁的旗帜	伴随隐隐的光和声音的魔法羽毛
3542	旅行者的袋子	游客丢掉的袋子，里头有种子之类
3543	觉醒香	挂在高迪卡脖子上的瓶子，估计是古代种族故意挂上去的
3544	旅行用急救箱	内涵特选的饮食和觉醒香的箱子，不知能否有收获
3545	根源的磨刀	能磨出决不伤人的刀刃的魔法磨石
3546	黑暗塞提奥的符咒	写有黑色 塞提奥名字的粗糙的符
3547	帕里阿内的信件	寄给老人的帕里阿内之信，估计是催活的内容
3548	黑暗塞提奥的真言	写有赞扬黑色 塞提奥的内容的文书
3549	埃斯特拉的箭支	写有名为埃斯特拉的游客名字的箭
3550	扎克的箭支	写有名为扎克的游客名字的箭
3551	巨人香料	实际上估计是古代香料；很刺激的动物香
3552	巴理奥斯契约书	巴里奥斯确认自己的证言修订的契约书
3553	尤恩的许可证	尤恩许可珀勒克罗多放牧的许可证
3554	塔雷家族的戒指	托雷的亲戚塔雷家族的兄弟们都戴着的戒指
3555	伯乐乐的项链	托雷的亲戚伯乐乐珍爱的项链
3556	迈恩的钱袋	贵族托尔卡夫用来做担保的迈恩的钱袋子
3557	德特拉迈特江	贵重金属之一，魔力很强因此常用于特殊用途
3558	流星结晶采集用锄头	只用在开采流行结晶的镐
3559	流星结晶	从天掉下来的流行中纯魔力结晶化的
3560	旧地图	温德利的残骸中发现的地图，很旧破因此难以认清上面的字
3561	古代语词典	月精灵们写的古代语翻译必需品
3562	假的马贼村地图	藏在假马贼村的显示黑点位置的地图
3563	赛德家族的剑	赖恩赛德使用的剑，买在地下将近100年仍很干净
3564	怪物猎人的戒指	怪物猎手行会做的戒指，证明身份
3565	料理材料箱子	巴里奥斯为了做料理而搜集材料的箱子
3566	狼头人的眉毛	非常细致的狼头人的眉毛，不容易用肉眼看
3567	塑造惊人肌肉的料理	传说吃了就会长出强壮肌肉的料理
3568	爆破石	凝聚着很强魔力的魔法石，按照指定咒语爆炸
3569	格奥勒格的箱子	格奥勒格做的箱子，内容物不祥，但看起来很危险
